"UniqueID","id","company","title","sentiment score"
"1684_Ashtead","1144","Ashtead","Ashtead to buy back shares, full-year profit beats estimates","0.588"
"828_Shell","1145","Shell","EU regulators clear Shell's takeover of BG Group","0.276"
"252_Prudential","1146","Prudential","UK's FTSE has worst day so far in 2015 as BG and Prudential fall","-0.651"
"1103_GlaxoSmithKline","1147","GlaxoSmithKline","GlaxoSmithKline acquires HIV assets","0.39"
"971_Barclays","1148","Barclays","Barclays faces another heavy forex fine","-0.834"
"573_Diageo","1149","Diageo","Diageo Shares Surge on Report of Possible Takeover by Lemann","0.481"
"545_Borealis Infrastructure","1150","Borealis Infrastructure","Borealis Infrastructure putting together new Severn Trent bid","0.154"
"759_Burberry","1151","Burberry Group plc","FTSE 100 falls as China devaluation hits Burberry, mining stocks","-0.479"
"1634_Deutsche Boerse","1152","Deutsche Boerse","London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit","-0.443"
"55_Tesco","1153","Tesco PLC","Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale","-0.335"
"624_AstraZeneca","1154","AstraZeneca","UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln","0.35"
"317_Shire","1155","Shire","Homebuilders, Shire Gains Spur FTSE 100 to Rally Beyond Record","0.837"
"1295_Royal Mail","1156","Royal Mail","CompaniesRoyal Mail adds a penny to stamp prices","-0.05"
"606_Royal Mail","1157","Royal Mail","Royal Mail shares fall as Ofcom publishes discussion document","-0.349"
"91_ITV","1158","ITV","ITV backs Carl Frampton to revive the glory days","0.251"
"1712_AdeS","1159","AdeS","The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever","0.277"
"1565_Barclays","1160","Barclays","Ex-Barclays Trader in Libor Case Says Boss Hit Him With Bat","-0.496"
"853_Morrisons","1161","Morrisons","Morrisons warns of long road to recovery after profit plunge","-0.601"
"441_Hargreaves Lansdown","1162","Hargreaves Lansdown","Hargreaves Lansdown posts record inflows in 4 mths to end-April","0.416"
"275_MOVANTIK","1163","MOVANTIK","AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US","0.454"
"353_EasyJet","1164","EasyJet","EasyJet Passenger Numbers And Load Factor Improve In March","0.371"
"980_WPP","1165","WPP","WPP wins race for 'programmatic buying' agency Essence Digital","0.238"
"1595_Old Mutual","1166","Old Mutual","Old Mutual nears deal to sell US business","0.269"
"1454_Travis Perkins","1167","Travis Perkins","UK builders' merchant Travis Perkins reports strong start to year","0.29"
"139_AstraZeneca","1168","AstraZeneca","Clinigen chosen by AstraZeneca to manage access programme for next ...","0.024"
"1347_Glencore","1169","Glencore","CompaniesGlencore shares hit 3-month high after refinancing key credit line","0.795"
"1147_Acerta","1170","Acerta","AstraZeneca weighing up Acerta bid to secure blood cancer drug","0.413"
"1344_Associated British Foods","1171","Associated British Foods","Associated British Foods raises guidance as sterling wilts","0.202"
"156_Pearson Jones","1172","Pearson Jones","Standard Life share price: Insurer buys advice firm Pearson Jones","0.379"
"105_Bunzl","1173","Bunzl","Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits","0.401"
"1663_Goldman Sachs","1174","Goldman Sachs","Goldman Sachs, Barclays, HSBC downplay Brexit threat","-0.147"
"1080_Morrisons","1175","Morrisons","CompaniesMorrison evicted from FTSE 100 as Worldpay joins","-0.852"
"634_Royal Mail","1176","Royal Mail","Royal Mail ""breached competition law"" over delivery service changes, Ofcom claims","-0.315"
"431_Rolls-Royce","1177","Rolls-Royce","Rolls-Royce Holdings To Reduce 600 Employees In Its Marine Business","-0.474"
"505_HSBC","1178","HSBC","UK stocks fall as HSBC overhaul fails to impress","-0.384"
"1127_RBS","1179","Royal Bank of Scotland Group plc","RBS Investment Bank to Return to Profit After Overhaul, CEO Says","0.338"
"1038_ZS Pharma","1180","ZS Pharma","AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal","0.52"
"1397_HSBC","1181","HSBC","HSBC money laundering report's release delayed amid US appeal","-0.043"
"519_Standard Life","1182","Standard Life","Keith Skeoch to step up as David Nish quits as chief executive of Standard Life","-0.09"
"1363_Legal & General","1183","Legal & General Group Plc","Legal & General's capital update outweighs profit rise","0.056"
"846_Glencore","1184","Glencore","Billionaire Chief Faces $210 Million Bill as Glencore Seeks Cash","0.164"
"845_Morrissons","1185","Morrisons","Market Report: New Morrisons chief executive buys another Â£500000 worth of ...","0.822"
"110_Tesco","1186","Tesco PLC","Buffett Embarrassed by 'Thumb-Sucking' on Exit of Tesco Stake","-0.418"
"1262_Petrofac","1187","Petrofac","CompaniesPetrofac earnings battered by North Sea project losses","-0.429"
"279_Legal & General","1188","Legal & General Group Plc","Legal & General arm buys 50 pct stake in MediaCityUK in Manchester","0.315"
"318_BG","1189","BG Group","Shell's $70 Billion BG Deal Meets Shareholder Skepticism","-0.209"
"820_Morrissons","1190","Smiths Group","UPDATE 1-Engineering firm Smiths Group confirms CEO appointment","0.078"
"1629_Aspen","1191","Aspen","Aspen to Buy Anaesthetics From AstraZeneca for $520 Million","0.388"
"1301_Glencore","1192","Glencore","Glencore posts 5.7 pct fall in Q4 copper output","-0.522"
"1753_Barclays","1193","Barclays","UPDATE 2-Three former Barclays traders found guilty in Libor rigging trial","-0.743"
"1044_easyJet","1194","EasyJet","easyJet expects resilient demand to withstand security fears","0.165"
"1368_BP","1195","BP","Militants fire rockets at Algerian BP/Statoil gas plant, no casualties","-0.41"
"1157_Barclays","1196","Barclays","New York judge tosses Saudi developer's $10 billion lawsuit vs Barclays","0.686"
"956_AB InBev","1197","AB InBev","UPDATE 3-SABMiller rejects 'informal' offer from AB InBev as too low - Bloomberg","-0.278"
"1235_Glencore","1198","Glencore","UPDATE 1-LPC-Glencore launches refinancing of US$8.45bn loan","0.182"
"1680_Old Mutual","1199","Old Mutual","Standard Life and Old Mutual join CII push to professionalism","0.345"
"1666_Burberry","1200","Burberry","Burberry CEO Christopher Bailey Gets 75% Pay Cut After Disappointing Results","-0.593"
"911_SAB Miller","1201","SABMiller","REFILE-RPT-Beer mega merger faces jobs battle in SABMiller's birthplace","-0.232"
"1102_Shell","1202","Shell","Shell Opens Natural Gas Wells Off Irish Coast","0.461"
"1251_Antofagasta","1203","Antofagasta","Industry NewsStrong end to a tough year for Antofagasta","0.771"
"1496_CaixaBank","1204","CaixaBank","CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure","0.244"
"1519_AstraZeneca","1205","AstraZeneca","AstraZeneca's investment eats into profit","-0.268"
"156_Standard Life","1206","Standard Life","Standard Life share price: Insurer buys advice firm Pearson Jones","0.364"
"218_Aer Lingus","1207","Aer Lingus","UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","0.284"
"1604_Pure Food","1208","Pure Food","Whitbread buys 49% stake in Pure food chain","0.563"
"636_BP","1209","BP","How Big Was BP's $5.8 Billion Loss?","-0.651"
"435_BAT","1210","BAT","Philip Morris, BAT Sue Over Law Taking Branding Off Packs","-0.152"
"801_Kingfisher","1211","Kingfisher","CompaniesShine comes off Kingfisher despite expansion plans","-0.281"
"998_BHP Billiton","1212","BHP Billiton","BHP Billiton to Face Questions From Shareholders","-0.365"
"679_Chime Communications","1213","Chime Communications","Chime Communications Set To Be Acquired By WPP And Providence","0.198"
"342_BP","1214","BP","UPDATE 1-BP shareholders back more disclosure on climate change risks","0.037"
"1117_Barclays","1215","Barclays","DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","0.358"
"877_JP Morgan","1216","JP Morgan","Barclays picks ex-JPMorgan exec Staley as new CEO, to start Dec 1","0"
"1241_BG","1217","BG Group","Shell share price: Standard Life announce position against BG acquisition","-0.194"
"799_Tesco","1218","Tesco PLC","UPDATE 2-Tesco sells South Korean unit to MBK-led group for $6.1 bln","0.317"
"572_Petrofac","1219","Petrofac","Petrofac's order backlog rises to 13 billion pounds","0.348"
"1589_ShelL","1220","ShelL","Shell's job losses now equal Facebook's entire payroll","-0.222"
"224_Lloyds Banking Group plc","1221","Lloyds Banking Group PLC","3 Reasons Why Lloyds Banking Group PLC Is Worthy Of A Place In Your ISA","0.331"
"619_Barclays","1222","Barclays","PRESS: Barclays To Cut More Than 30000 Jobs - The Times","-0.45"
"1116_Acerta","1223","Acerta","Royal Mail Fined Â£40m After French Probe","-0.671"
"1750_M&G","1224","M&G Investments","Aviva, M&G suspend property funds as investors panic","-0.807"
"1700_Barclays","1225","Barclays","Priceline's stock jumps to new high for the year after Barclays upgrade","0.45"
"1167_Kingfisher","1226","Kingfisher","CompaniesKingfisher sliding despite promise of Â£600m capital return","-0.465"
"177_BP","1227","BP","Oil giant BP reports loss of $4.4 billion in 4th quarter of 2014","-0.963"
"1047_SABMiller","1228","SABMiller","CompaniesAB InBev-SABMiller deadline extended for 2nd time","0.05"
"531_Aviva","1229","Aviva plc","Aviva closes three offices as 1500 job cuts begin","-0.485"
"942_AB InBev","1230","AB InBev","AB InBev attacks SABMiller bid rebuffal","-0.043"
"332_Standard Life","1231","Standard Life","Standard Life assets under administration up 5 pct to 312 bln pounds","0.268"
"255_Tesco","1232","Tesco PLC","RPT-UPDATE 2-Tesco turnaround gathers pace under new CEO","0.301"
"1175_Morrisons","1233","Morrisons","UK supermarket group Morrisons cuts fresh food prices","0.364"
"189_BP","1234","BP","BP share price: Group loses bid to limit Clean Water Act fine","-0.547"
"422_Old Mutual","1235","Old Mutual","RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct","0.724"
"530_Johnson Matthey","1236","Johnson Matthey","Royal Mail, Johnson Matthey lead FTSE lower","-0.408"
"1545_Berkshire Hathaway","1237","Berkshire Hathaway Inc.","Should You Follow Berkshire Hathaway Into Apple Stock?","0"
"1082_Barclays","1238","Barclays","Bloomberg buys Barclays' benchmarking business","0.626"
"1210_Baxalta","1239","Baxalta","MarketsShire up 2.5% and Baxalta up 6% on $32bn deal","0.663"
"861_AB InBev","1240","AB InBev","AB InBev looks to win over SABMiller investors","0.22"
"1432_Morrisons","1241","Morrisons","Who will make the perfect match in Morrisons' bizarre love triangle?","0.032"
"1764_Persimmon","1242","Persimmon","Builder Persimmon hails 6% rise in house sales","0.435"
"516_Standard Chartered","1243","Standard Chartered PLC","FTSE 100 flat; Standard Chartered leads risers","0.589"
"1138_Barclays","1244","Barclays","Che Banca! CEO says Barclays buy to lift profit from 2016-17","0.402"
"412_GlaxoSmithKline","1245","GlaxoSmithKline","GlaxoSmithKline targets growth across units, scraps ViiV IPO","0.229"
"214_Credit Suisse","1246","Credit Suisse","New Credit Suisse boss faces stiff challenge in Asia","-0.181"
"408_Aberdeen Asset Management","1247","Aberdeen Asset Management","Aberdeen Asset Management profit rises","0.417"
"1135_Lloyds Banking Group","1248","Lloyds Banking Group PLC","How Lloyds Banking Group PLC Could Double Your Money By 2018","0.313"
"879_SAB Miller","1249","SABMiller","CompaniesAB InBev signals it won't go hostile for SABMiller","0.107"
"978_Legal & General","1250","Legal & General Group Plc","Legal & General group chairman John Stewart to retire in 2016","-0.026"
"445_Berkshire","1251","Berkshire Hathaway Inc.","Berkshire holders hit Buffett with hard questions","-0.19"
"1643_Tesco","1252","Tesco PLC","Shell to build large-scale chemical plant in the US","0.304"
"648_Royal Mail","1253","Royal Mail","Royal Mail is improving â€“ but it's no red-letter day","0.131"
"830_G4S","1254","G4S","G4S wins security services contracts in Iraq and Afghanistan","0.433"
"897_SAB Miller","1255","SABMiller","UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach","0.172"
"502_Cairn Homes","1256","Cairn Homes","Irish housebuilder Cairn Homes plans London listing","0.189"
"1130_StanChart","1257","Standard Chartered PLC","Exclusive - StanChart axes senior bankers in energy M&A team: sources","-0.105"
"55_Blinkbox","1258","Blinkbox","Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale","-0.195"
"252_BG","1259","BG Group","UK's FTSE has worst day so far in 2015 as BG and Prudential fall","-0.631"
"417_AstraZeneca","1260","AstraZeneca","Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration","0.405"
"675_Shell","1261","Shell","Shell to Cut 6500 Jobs as Profit Drops","-0.574"
"1477_Smiths Group","1262","Smiths Group","CompaniesSmiths Group buys $710m US security system maker","0.307"
"486_Tesco","1263","Tesco PLC","PRESS: Tesco Cuts 450 Jobs As Final Homeplus Stores Closed - Sky News","-0.61"
"1440_Barclays","1264","Barclays","Barclays gives top bosses, including new chief executive Jes Staley, Â£8.7m in shares","0"
"1190_Ashtead","1265","Ashtead","Britain's FTSE falls back with Ashtead, commodities under pressure","-0.59"
"158_Dixons Carphone","1266","Dixons Carphone","Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame","0.129"
"1202_San Miguel","1267","San Miguel","Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...","0.19"
"548_Lehman","1268","Lehman","UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee","0.239"
"914_AB InBev","1269","AB InBev","AB InBev ups offer for SABMiller as deadline looms","0.163"
"616_Financial Times","1270","Financial Times","Japan's Nikkei lands Financial Times in $1.3 billion deal","0.296"
"708_Berkshire Hathaway","1271","Berkshire Hathaway Inc.","UPDATE 2-Warren Buffett's Berkshire Hathaway nearing deal to buy Precision ...","0.259"
"283_Tesco","1272","Tesco PLC","Britain's Tesco starts land sell-off process","-0.088"
"693_CRH","1273","CRH","CRH adds CR Laurence to acquisitions tally for $1.3bn","0.231"
"1560_AB InBrev","1274","AB InBev","EU regulators clear $100 billion-plus AB InBev, SABMiller deal","0.374"
"170_Rio Tinto","1275","Rio Tinto","Miners help FTSE recover, Rio Tinto leads higher","0.383"
"267_WWP","1276","WWP","Tesco's Dunnhumby: Is Sir Martin Sorrell's WPP about to take a stake in the ...","0"
"831_Standard Chartered","1277","Standard Chartered","CompaniesDeutsche taps ex-StanChart executive for audit role","0"
"1429_Kingfisher","1278","Kingfisher","Kingfisher share price: FY statutory pre-tax profit falls 20.5%","-0.426"
"1644_Lloyds","1279","Lloyds Banking Group PLC","Lloyds planning to cut 640 jobs to cut costs - sources","-0.567"
"1770_Standard Life","1280","Standard Life","Property Stocks Slump After Standard Life Freezes U.K. Fund","-0.718"
"1660_London Stock Exchange","1281","London Stock Exchange Group","Shareholder advisory groups back London Stock Exchange merger","0.416"
"399_National Grid","1282","National Grid","EU membership vital for UK's energy market - National Grid CEO Steve Holliday","0.135"
"744_Glencore","1283","Glencore","Glencore leads Britain's FTSE lower as China concerns weigh","-0.514"
"1561_Standard Life","1284","Standard Life","Standard Life Elevates","0.555"
"740_Standard Chartered","1285","Standard Chartered PLC","2ND UPDATE: Standard Chartered Mulls Capital Raising As Profit Tumbles","-0.269"
"870_Glencore","1286","Glencore","Glencore shares in record crash as profit fears grow","-0.971"
"60_Ocwen","1287","Ocwen","Ocwen Reaches Settlement With California Regulator","0.171"
"1575_Shell","1288","Shell","Shell CEO warns renewables shift could spell end if too swift","-0.427"
"1699_ARM Holdings plc","1289","ARM Holdings plc","Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","0.041"
"1562_Tesco","1290","Tesco","Krispy Kreme bring delicious doughnuts to Maryhill Tesco in Glasgow","0.1"
"936_Glencore","1291","Glencore","Glencore director puts money back on the table","0.341"
"517_RBS","1292","Royal Bank of Scotland Group plc","CompaniesHoward Davies appointment as RBS director delayed","-0.025"
"1392_Volkswagen","1293","Volkswagen","US subpoenas Volkswagen under bank fraud law in emissions probe: source","-0.838"
"682_AstraZeneca","1294","AstraZeneca","AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug","0.244"
"941_Shire","1295","Shire","Britain's FTSE forges ahead as Shire surges","0.512"
"967_ExxonMobil","1296","ExxonMobil","Supreme Court Upholds $236 Million Jury Award Against ExxonMobil","-0.459"
"674_AXA","1297","AXA","UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA","0.215"
"126_Randgold Resources","1298","Randgold Resources","Randgold Resources Q4 Profit Decreases - Quick Facts","-0.282"
"43_Tesco","1299","Tesco PLC","Cost cuts, asset sales and writedowns in store for Tesco","-0.019"
"107_Lloyds","1300","Lloyds Banking Group PLC","REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue","0.522"
"551_Tesco","1301","Tesco PLC","Tesco is the worst big supermarket for treating suppliers fairly, according to ...","-0.464"
"822_Wolseley","1302","Wolseley","MarketsWolseley shares wilt 8.8% after full year results","-0.787"
"294_Juno","1303","Juno","AstraZeneca, Juno latest to collaborate on immuno-oncology drugs","0.245"
"1073_Bloomberg","1304","Bloomberg","Barclays sells benchmark indices unit to Bloomberg","0.281"
"190_Berkshire Hathaway","1305","Berkshire Hathaway Inc.","Warren Buffett defends Berkshire Hathaway's conglomerate structure","0.144"
"36_Unilever","1306","Unilever","Unilever profit rises despite sales slump in China","0.213"
"311_AstraZeneca","1307","AstraZeneca","FDA: Data suggests AstraZeneca drug may increase death rate","-0.502"
"419_IBM","1308","IBM","Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo","0.366"
"20_BP","1309","BP","BP's fine for Gulf of Mexico spill capped by ruling","0.032"
"755_Direct Line","1310","Direct Line Insurance Group PLC","Direct Line Raises 2015 Guidance On Combined Ratio Improvement","0.746"
"861_SABMiller","1311","SABMiller","AB InBev looks to win over SABMiller investors","0.276"
"832_SAB Miller","1312","SABMiller","UPDATE 1-SABMiller leads S.African shares higher, rand firms","0.564"
"370_Whitbread","1313","Whitbread","Whitbread in apprenticeship drive","0.187"
"335_BG Group","1314","BG Group","Shell to buy BG Group in $69.7 billion takeover","0.415"
"1602_EasyJet","1315","EasyJet","EasyJet to turn away 'have a go' fliers who arrive less than 30 minutes early","0.1"
"287_Morrisons","1316","Morrisons","David Potts: There's trouble in store for the new boss of Morrisons","-0.268"
"1739_BP","1317","BP","Judge: 22 BP fraud charges against lawyer duplicate others","-0.678"
"476_Lidl","1318","Lidl","Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","0.372"
"286_Prudential","1319","Prudential","Prudential's departing CEO Thiam earned 11.8 million pounds in 2014","-0.161"
"362_Pearson","1320","Pearson","LA Schools to Drop Pearson Products Under Ambitious Technology Plan","-0.466"
"1622_Standard Life","1321","Standard Life","Standard Life chief agrees Â£600000 bonus cut","0.08"
"1173_BP","1322","BP","BP to slash 4000 jobs globally as oil prices drop","-0.736"
"1460_Banco BPI","1323","Banco BPI","Banco BPI Says Deal for Angolan Unit Has Collapsed","-0.511"
"1583_Berkshire","1324","Berkshire Hathaway Inc.","Berkshire Hathaway names Kara Raiguel to lead General Re unit","0.077"
"1287_AstraZeneca","1325","AstraZeneca","AstraZeneca share price: Acerta deal pays off with orphan drug status","0.495"
"927_Tesco","1326","Tesco PLC","Tesco share price: Grocer and peers to step up branded products cull","-0.197"
"1514_ITV","1327","ITV","Papers- ITV eyeing Peppa Pig","0.227"
"1556_Royal Mail","1328","Royal Mail","Royal Mail gets mixed bag from Ofcom postal regulation report","-0.084"
"383_Shire","1329","Shire","Shire dry eye drug fast-tracked by FDA","0.336"
"969_National Grid","1330","National Grid","National Grid mulls sale of UK gas distribution business","0.229"
"981_Samarco","1331","Samarco","BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn","-0.637"
"1340_Kinder Morgan","1332","Kinder Morgan","UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake","0.608"
"367_Weir Group","1333","Weir Group","CompaniesOil slump forces Weir Group into more job cuts","-0.501"
"322_Tesco","1334","Tesco PLC","Tesco's deals with suppliers reflected a retailer with the wrong priorities","-0.328"
"1149_RBS","1335","Royal Bank of Scotland Group plc","RBS turns away savers in latest glitch","-0.642"
"2_Tesco","1336","Tesco PLC","Tesco takes fight to discounters with price cuts on brands","0.18"
"884_Aviva","1337","Aviva plc","Aviva Investors admits redemptions 'too high' after Â£500m outflow","-0.479"
"922_Glencore","1338","Glencore","METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally","0.162"
"18_Aviva","1339","Aviva","Aviva Expects 1500 Jobs Cuts from Friends Life Deal","0.2"
"1089_Acerta","1340","Acerta","AstraZeneca Explores Potential Deal With Acerta for Cancer Drug","0.369"
"205_Halfords","1341","Halfords","Halfords recruits Jill McDonald as CEO","0.081"
"622_HSBC","1342","HSBC","Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients","-0.251"
"1540_ITV","1343","ITV","CompaniesITV: Brexit jitters weighing on advertising","-0.329"
"1737_Wells Fargo","1344","Wells Fargo","Berkshire seeks to boost its Wells Fargo stake above 10 percent","0.429"
"167_BP","1345","BP","BP boosts FTSE towards four and a half month high","0.671"
"1072_Standard Chartered","1346","Standard Chartered PLC","Standard Chartered may see white knight takeover on painful recovery: CLSA","-0.156"
"630_Barclays","1347","Barclays","Barclays boss McFarlane seen speeding asset sales, cost cuts","0.038"
"1029_AstraZeneca","1348","AstraZeneca","AstraZeneca sells US drug rights to Perrigo for $380 mln","0.261"
"1415_Amazon","1349","Amazon","Amazon's grocery deal with Morrisons is only the beginning","0.36"
"1555_BT","1350","BT Group","BT share price: Watchdog bans telco's broadband adverts","-0.389"
"1549_Royal Mail","1351","Royal Mail","CompaniesRoyal Mail revenues drop despite boost in parcels","-0.341"
"111_Tesco","1352","Tesco PLC","Tesco investors non-plussed by John Allan as chairman - he's no Archie Norman ...","-0.431"
"275_Daiichi Sankyo","1353","Daiichi Sankyo","AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US","0.361"
"202_RBS","1354","Royal Bank of Scotland Group plc","RBS job cuts draw attention to number that are still there","-0.174"
"1431_Deutsche Borse","1355","Deutsche Boerse","Merkel's Government Said to Support Deutsche Boerse-LSE Merger","0.332"
"923_HSBC","1356","HSBC","HSBC to sell Bermuda trust and investment management business","0.2"
"1063_Direct Line Insurance Group PLC","1357","Direct Line Insurance Group PLC","Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","0.345"
"258_AstraZeneca","1358","AstraZeneca","AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US","0.338"
"775_Standard Life","1359","Standard Life","Even Superman Skeoch will struggle with his dual role at Standard Life","-0.242"
"1178_Samarco","1360","Samarco","Samarco, Brazil government come closer on $4.8 billion dam-disaster accord","-0.209"
"1754_Perssimon","1361","Persimmon","UK housing market steadies after Brexit dip, Persimmon says","0.339"
"1614_Royal Mail","1362","Royal Mail","Ofcom says will not impose new price controls on Royal Mail","0.211"
"926_Glencore","1363","Glencore","UPDATE 3-Glencore resumes slide despite investor meeting, John Mack share purchase","-0.396"
"307_AstraZeneca","1364","AstraZeneca","UPDATE 2-AstraZeneca's diabetes drug Onglyza may increase death rate -FDA","-0.613"
"99_Meggitt","1365","Meggitt","UPDATE 1-Meggitt reiterates annual outlook after tough 2014","0.021"
"580_Royal Mail","1366","Royal Mail","London Stock Exchange Group appoints Royal Mail's Donald Brydon to replace ...","0"
"142_BP","1367","BP","Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","-0.398"
"246_Springleaf","1368","Springleaf","Citigroup to Sell OneMain to Springleaf for $4.25 Billion","0.225"
"354_Centrica","1369","Centrica PLC","Centrica's shareholders protest over new chief's pay package","-0.243"
"1715_Morrisons","1370","Morrisons","Morrisons offers to rehire staff from under-threat My Local chain","0.055"
"1224_Asahi","1371","Asahi","Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri","0.206"
"811_Old Mutual","1372","Old Mutual","Old Mutual share price: CFO to leave company","-0.165"
"1399_Rio Tinto","1373","Rio Tinto","Standout performer' JS Jacques picked to lead Rio Tinto","0.167"
"277_RBS","1374","RBS","The government should soon sell its stake in RBS","-0.104"
"315_Germanwings","1375","Germanwings","Germanwings disaster will not affect image of budget air travel - easyJet","-0.046"
"878_Glencore","1376","Glencore","Glencore to sell copper mines in Australia, Chile","0.138"
"1688_Dixons Carphone","1377","Dixons Carphone","Profits leap at Dixons Carphone - and it isn't worried about Brexit","0.385"
"488_Bunzi","1378","Bunzl","Britain's FTSE lags euro zone peers, Bunzl results cap market","0.36"
"269_Standard Chartered","1379","Standard Chartered","Standard Chartered's outgoing chief Peter Sands paid $5.1 million in 2014","-0.1"
"233_Glencore","1380","Glencore","Glencore 2014 profit in line, takes $1.1 billion impairment charge on commodity ...","0"
"751_BHP","1381","BHP Billiton","BHP, Glencore Head Tumbling Miners as Commodity Rout Deepens","-0.518"
"1063_Admiral Group plc","1382","Admiral Group plc","Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","0.319"
"244_Friends Life","1383","Friends Life","Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","0.39"
"40_Royal Dutch Shell","1384","Royal Dutch Shell","Royal Dutch Shell profit rises; dividend up 4%","0.65"
"1106_Shell","1385","Shell","Shell Plans to Shed 2800 Jobs After Buying BG Group","-0.451"
"275_AstraZeneca","1386","AstraZeneca","AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US","0.275"
"459_MillerCoors","1387","MillerCoors","MillerCoors Board Names Gavin Hattersley Interim CEO","0"
